edition,team_id,team,player_id,player,match_number,match_id,stage,opponent,team_match_number,nominal_minutes,lineup_status,availability_status,played_minutes,suspension_unavailable_minutes,injury_unavailable_minutes,union_unavailable_minutes,opportunity_denominator_minutes,injury_source_url,injury_evidence_note,participation_source_url,participation_source_archive
2014,43822,Korea Republic,268406,KI Sungyueng,32,300186495,group,Algeria,2,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186495?language=en,data/raw/2014/fifa/live/m032_300186495.json
2014,43822,Korea Republic,268406,KI Sungyueng,47,300186480,group,Belgium,3,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186480?language=en,data/raw/2014/fifa/live/m047_300186480.json
2014,43822,Korea Republic,274329,HAN Kookyoung,16,300186499,group,Russia,1,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186499?language=en,data/raw/2014/fifa/live/m016_300186499.json
2014,43822,Korea Republic,274329,HAN Kookyoung,32,300186495,group,Algeria,2,90,starter,played,77,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186495?language=en,data/raw/2014/fifa/live/m032_300186495.json
2014,43822,Korea Republic,274329,HAN Kookyoung,47,300186480,group,Belgium,3,90,starter,played,45,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186480?language=en,data/raw/2014/fifa/live/m047_300186480.json
2014,43822,Korea Republic,291393,KOO Jacheol,16,300186499,group,Russia,1,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186499?language=en,data/raw/2014/fifa/live/m016_300186499.json
2014,43822,Korea Republic,291393,KOO Jacheol,32,300186495,group,Algeria,2,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186495?language=en,data/raw/2014/fifa/live/m032_300186495.json
2014,43822,Korea Republic,291393,KOO Jacheol,47,300186480,group,Belgium,3,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186480?language=en,data/raw/2014/fifa/live/m047_300186480.json
2014,43822,Korea Republic,307849,SON Heungmin,16,300186499,group,Russia,1,90,starter,played,83,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186499?language=en,data/raw/2014/fifa/live/m016_300186499.json
2014,43822,Korea Republic,307849,SON Heungmin,32,300186495,group,Algeria,2,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186495?language=en,data/raw/2014/fifa/live/m032_300186495.json
2014,43822,Korea Republic,307849,SON Heungmin,47,300186480,group,Belgium,3,90,starter,played,72,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186480?language=en,data/raw/2014/fifa/live/m047_300186480.json
2014,43822,Korea Republic,312679,HONG Jeongho,16,300186499,group,Russia,1,90,starter,played,72,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186499?language=en,data/raw/2014/fifa/live/m016_300186499.json
2014,43822,Korea Republic,312679,HONG Jeongho,32,300186495,group,Algeria,2,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186495?language=en,data/raw/2014/fifa/live/m032_300186495.json
2014,43822,Korea Republic,312679,HONG Jeongho,47,300186480,group,Belgium,3,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186480?language=en,data/raw/2014/fifa/live/m047_300186480.json
2014,43822,Korea Republic,363578,LEE Yong,16,300186499,group,Russia,1,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186499?language=en,data/raw/2014/fifa/live/m016_300186499.json
2014,43822,Korea Republic,363578,LEE Yong,32,300186495,group,Algeria,2,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186495?language=en,data/raw/2014/fifa/live/m032_300186495.json
2014,43822,Korea Republic,363578,LEE Yong,47,300186480,group,Belgium,3,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186480?language=en,data/raw/2014/fifa/live/m047_300186480.json
2014,43843,Algeria,215208,Madjid BOUGUERRA,15,300186479,group,Belgium,1,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186479?language=en,data/raw/2014/fifa/live/m015_300186479.json
2014,43843,Algeria,215208,Madjid BOUGUERRA,32,300186495,group,Korea Republic,2,90,starter,played,88,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186495?language=en,data/raw/2014/fifa/live/m032_300186495.json
2014,43843,Algeria,215208,Madjid BOUGUERRA,48,300186506,group,Russia,3,90,unused_substitute,bench,0,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186506?language=en,data/raw/2014/fifa/live/m048_300186506.json
2014,43843,Algeria,215208,Madjid BOUGUERRA,54,300186460,round_of_16,Germany,4,120,used_substitute,played,24,0,0,0,120,,,https://api.fifa.com/api/v3/live/football/17/251164/255951/300186460?language=en,data/raw/2014/fifa/live/m054_300186460.json
2014,43843,Algeria,296827,Rafik HALLICHE,15,300186479,group,Belgium,1,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186479?language=en,data/raw/2014/fifa/live/m015_300186479.json
2014,43843,Algeria,296827,Rafik HALLICHE,32,300186495,group,Korea Republic,2,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186495?language=en,data/raw/2014/fifa/live/m032_300186495.json
2014,43843,Algeria,296827,Rafik HALLICHE,48,300186506,group,Russia,3,90,starter,played,90,0,0,0,90,,,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186506?language=en,data/raw/2014/fifa/live/m048_300186506.json
