edition,match_number,match_id,stage,team_id,team,opponent,team_match_number,fouls,source_url,source_archive
2014,18,300186453,group,43938,Croatia,Cameroon,2,9,https://data.huffingtonpost.com/2014/world-cup/matches/cameroon-vs-croatia-731784,data/raw/2014/huffpost/matches/731784.html
2014,19,300186498,group,43925,Chile,Spain,2,15,https://data.huffingtonpost.com/2014/world-cup/matches/spain-vs-chile-731785,data/raw/2014/huffpost/matches/731785.html
2014,19,300186498,group,43969,Spain,Chile,2,14,https://data.huffingtonpost.com/2014/world-cup/matches/spain-vs-chile-731785,data/raw/2014/huffpost/matches/731785.html
2014,20,300186478,group,43960,Netherlands,Australia,2,25,https://data.huffingtonpost.com/2014/world-cup/matches/australia-vs-netherlands-731786,data/raw/2014/huffpost/matches/731786.html
2014,20,300186478,group,43976,Australia,Netherlands,2,18,https://data.huffingtonpost.com/2014/world-cup/matches/australia-vs-netherlands-731786,data/raw/2014/huffpost/matches/731786.html
2014,21,300186468,group,43854,Côte d'Ivoire,Colombia,2,14,https://data.huffingtonpost.com/2014/world-cup/matches/colombia-vs-ivory-coast-731787,data/raw/2014/huffpost/matches/731787.html
2014,21,300186468,group,43926,Colombia,Côte d'Ivoire,2,11,https://data.huffingtonpost.com/2014/world-cup/matches/colombia-vs-ivory-coast-731787,data/raw/2014/huffpost/matches/731787.html
2014,22,300186454,group,43819,Japan,Greece,2,23,https://data.huffingtonpost.com/2014/world-cup/matches/japan-vs-greece-731788,data/raw/2014/huffpost/matches/731788.html
2014,22,300186454,group,43949,Greece,Japan,2,18,https://data.huffingtonpost.com/2014/world-cup/matches/japan-vs-greece-731788,data/raw/2014/huffpost/matches/731788.html
2014,23,300186486,group,43930,Uruguay,England,2,17,https://data.huffingtonpost.com/2014/world-cup/matches/uruguay-vs-england-731789,data/raw/2014/huffpost/matches/731789.html
2014,23,300186486,group,43942,England,Uruguay,2,12,https://data.huffingtonpost.com/2014/world-cup/matches/uruguay-vs-england-731789,data/raw/2014/huffpost/matches/731789.html
2014,24,300186500,group,43901,Costa Rica,Italy,2,23,https://data.huffingtonpost.com/2014/world-cup/matches/italy-vs-costa-rica-731790,data/raw/2014/huffpost/matches/731790.html
