edition,edition_status,ledger,team_id,team,player_id,player,rho,mu,lambda,omega,group_caution_min,group_dismissal_min,group_served_matches,group_served_min,knockout_in_match_min,knockout_accumulation_window_min,knockout_served_matches,knockout_served_min,exp_susp_grp_unweighted_min,exp_susp_unweighted_min,exp_susp_all_unweighted_min,exact_clock_q_min,exp_susp_prime_unweighted_min,exp_susp_grp_min,exp_susp_min,exp_susp_all_min,exp_susp_prime_min
2014,final,full,43860,Ghana,311850,Mohammed RABIU,2,1.25,0.5,0.822222222,241,0,0,0,0,0,0,0,241,0,241,66.03,274.015,198.155556,0,198.155556,225.301222
2014,final,full,43860,Ghana,353235,Jordan Ayew,2,1.25,0.5,0.433333333,13,0,0,0,0,0,0,0,13,0,13,18.12,22.06,5.633333,0,5.633333,9.559333
2014,final,full,43860,Ghana,367393,Majeed WARIS,2,1.25,0.5,0.259259259,36,0,0,0,0,0,0,0,36,0,36,41.12,56.56,9.333333,0,9.333333,14.663704
2014,final,full,43876,Nigeria,234463,John Obi MIKEL,2,1.25,0.5,1,99,0,0,0,0,180,0,0,99,180,279,107.3,332.65,99,180,279,332.65
2014,final,full,43876,Nigeria,315424,Kenneth OMERUO,2,1.25,0.5,1,42,0,0,0,0,180,0,0,42,180,222,141.33,292.665,42,180,222,292.665
2014,final,full,43876,Nigeria,356712,Juwon OSHANIWA,2,1.25,0.5,1,40,0,0,0,0,180,0,0,40,180,220,139.33,289.665,40,180,220,289.665
2014,final,full,43901,Costa Rica,199175,Keylor NAVAS,2,1.25,0.5,1,0,0,0,0,1,90,0,0,0,91,91,33,107.5,0,91,91,107.5
2014,final,full,43901,Costa Rica,208120,Michael UMANA,2,1.25,0.5,0.8125,0,0,0,0,39,0,0,0,0,39,39,70,74,0,31.6875,31.6875,60.125
2014,final,full,43901,Costa Rica,209940,Junior DIAZ,2,1.25,0.5,1,0,0,0,0,54,0,0,0,0,54,54,85,96.5,0,54,54,96.5
2014,final,full,43901,Costa Rica,214876,Bryan RUIZ,2,1.25,0.5,0.9625,0,0,0,0,21,90,0,0,0,111,111,53,137.5,0,106.8375,106.8375,132.34375
2014,final,full,43901,Costa Rica,268821,Giancarlo GONZALEZ,2,1.25,0.5,1,31,0,0,0,10,170,0,0,31,180,211,197.13,309.565,31,180,211,309.565
2014,final,full,43901,Costa Rica,268822,Jose CUBERO,2,1.25,0.5,0.185416667,110,0,0,0,0,180,0,0,110,180,290,145.73,362.865,20.395833,33.375,53.770833,67.281219
2014,final,full,43901,Costa Rica,301165,Oscar GRANADOS,2,1.25,0.5,0,0,0,0,0,34,90,0,0,0,124,124,66,157,0,0,0,0
