edition,team_id,team,player_id,player,played_minutes,team_nominal_minutes,suspension_unavailable_minutes,injury_unavailable_minutes,union_unavailable_minutes,opportunity_denominator_minutes,omega
2014,43924,Brazil,289964,THIAGO SILVA,570,660,90,0,90,570,1
2014,43924,Brazil,298959,RAMIRES,250,660,0,0,0,660,0.378787879
2014,43924,Brazil,312868,OSCAR,638,660,0,0,0,660,0.966666667
2014,43924,Brazil,314197,NEYMAR,454,660,0,183,183,477,0.951781971
2014,43924,Brazil,318172,HULK,394,660,0,0,0,660,0.596969697
2014,43924,Brazil,367913,DANTE,90,660,0,0,0,660,0.136363636
2014,43924,Brazil,367918,LUIZ GUSTAVO,525,660,90,0,90,570,0.921052632
2014,43925,Chile,201787,Mauricio PINILLA,47,390,0,0,0,390,0.120512821
2014,43925,Chile,267543,Arturo VIDAL,232,390,0,0,0,390,0.594871795
2014,43925,Chile,318150,Charles ARANGUIZ,363,390,0,0,0,390,0.930769231
2014,43925,Chile,349582,Francisco SILVA,279,390,0,0,0,390,0.715384615
2014,43925,Chile,349592,Eugenio MENA,390,390,0,0,0,390,1
2014,43926,Colombia,200213,Pablo ARMERO,414,450,0,0,0,450,0.92
2014,43926,Colombia,200219,Fredy GUARIN,190,450,90,0,90,360,0.527777778
2014,43926,Colombia,269058,James RODRIGUEZ,399,450,0,0,0,450,0.886666667
2014,43926,Colombia,280487,Carlos SANCHEZ,360,450,0,0,0,450,0.8
2014,43926,Colombia,3408,Mario YEPES,360,450,0,0,0,450,0.8
2014,43927,Ecuador,202544,Antonio VALENCIA,229,270,41,0,41,229,1
2014,43927,Ecuador,290452,Jefferson MONTERO,228,270,0,0,0,270,0.844444444
2014,43927,Ecuador,349576,Juan PAREDES,270,270,0,0,0,270,1
2014,43927,Ecuador,349578,Frickson ERAZO,270,270,0,0,0,270,1
2014,43927,Ecuador,373400,Enner VALENCIA,270,270,0,0,0,270,1
2014,43930,Uruguay,229498,Fernando MUSLERA,360,360,0,0,0,360,1
2014,43930,Uruguay,229499,Diego GODIN,360,360,0,0,0,360,1
2014,43930,Uruguay,239433,Diego LUGANO,90,360,0,270,270,90,1
2014,43930,Uruguay,267829,Martin CACERES,360,360,0,0,0,360,1
2014,43930,Uruguay,276131,Walter GARGANO,59,360,0,0,0,360,0.163888889
2014,43930,Uruguay,286238,Egidio AREVALO,360,360,0,0,0,360,1
2014,43930,Uruguay,286481,Maximiliano PEREIRA,225,360,90,0,90,270,0.833333333
2014,43930,Uruguay,368655,Jose GIMENEZ,270,360,0,0,0,360,0.75
2014,43935,Belgium,216004,Vincent KOMPANY,390,480,0,90,90,390,1
2014,43935,Belgium,273996,Eden HAZARD,367,480,0,0,0,480,0.764583333
2014,43935,Belgium,290821,Axel WITSEL,390,480,0,0,0,480,0.8125
2014,43935,Belgium,290824,Steven DEFOUR,44,480,166,0,166,314,0.140127389
2014,43935,Belgium,290825,Moussa DEMBELE,154,480,0,0,0,480,0.320833333
2014,43935,Belgium,290864,Toby ALDERWEIRELD,390,480,0,0,0,480,0.8125
2014,43935,Belgium,290904,Jan VERTONGHEN,450,480,0,0,0,480,0.9375
2014,43938,Croatia,214384,EDUARDO,22,270,0,0,0,270,0.081481481
2014,43938,Croatia,296633,Ivan RAKITIC,270,270,0,0,0,270,1
2014,43938,Croatia,297373,Vedran CORLUKA,270,270,0,0,0,270,1
2014,43938,Croatia,312432,Dejan Lovren,270,270,0,0,0,270,1
2014,43938,Croatia,369058,Ante REBIC,46,270,2,0,2,268,0.171641791
2014,43942,England,214961,Steven GERRARD,198,270,0,0,0,270,0.733333333
2014,43942,England,336043,Raheem Sterling,182,270,0,0,0,270,0.674074074
2014,43942,England,361222,Adam LALLANA,92,270,0,0,0,270,0.340740741
2014,43942,England,369392,Ross Barkley,147,270,0,0,0,270,0.544444444
2014,43946,France,212246,Patrice EVRA,360,450,0,0,0,450,0.8
2014,43946,France,358013,Yohan CABAYE,316,450,90,0,90,360,0.877777778
2014,43946,France,358014,Blaise Matuidi,426,450,0,0,0,450,0.946666667
2014,43946,France,367388,Paul Pogba,354,450,0,0,0,450,0.786666667
2014,43948,Germany,196748,Philipp LAHM,690,690,0,0,0,690,1
2014,43948,Germany,196752,Bastian SCHWEINSTEIGER,504,690,0,0,0,690,0.730434783
2014,43948,Germany,196900,Sami KHEDIRA,376,690,0,120,120,570,0.659649123
2014,43948,Germany,311148,Benedikt HOEWEDES,690,690,0,0,0,690,1
2014,43949,Greece,214887,Konstantinos KATSOURANIS,140,360,143,0,143,217,0.64516129
2014,43949,Greece,215513,Dimitrios SALPINGIDIS,224,360,0,0,0,360,0.622222222
2014,43949,Greece,228336,Vasileios TOROSIDIS,360,360,0,0,0,360,1
2014,43949,Greece,297112,Georgios SAMARAS,360,360,0,0,0,360,1
2014,43949,Greece,299090,Sokratis Papastathopoulos,360,360,0,0,0,360,1
2014,43949,Greece,323556,Konstantinos Manolas,360,360,0,0,0,360,1
2014,43949,Greece,362649,Andreas Samaris,136,360,0,0,0,360,0.377777778
2014,43954,Italy,298664,Claudio MARCHISIO,216,270,32,0,32,238,0.907563025
2014,43954,Italy,301059,Mario BALOTELLI,207,270,0,0,0,270,0.766666667
2014,43954,Italy,359223,Mattia De Sciglio,90,270,0,90,90,180,0.5
2014,43960,Netherlands,184615,Klaas Jan HUNTELAAR,55,690,0,0,0,690,0.079710145
2014,43960,Netherlands,184616,Arjen ROBBEN,690,690,0,0,0,690,1
2014,43960,Netherlands,217315,Robin VAN PERSIE,544,690,90,0,90,600,0.906666667
2014,43960,Netherlands,298677,Jonathan DE GUZMAN,228,690,0,0,0,690,0.330434783
2014,43960,Netherlands,313021,Stefan de Vrij,676,690,0,0,0,690,0.979710145
2014,43960,Netherlands,319432,Daley Blind,669,690,0,0,0,690,0.969565217
2014,43960,Netherlands,358736,Bruno MARTINS INDI,457,690,0,0,0,690,0.662318841
2014,43963,Portugal,200199,JOAO MOUTINHO,270,270,0,0,0,270,1
