edition,edition_status,match_number,stage,team_id,team,segment,foul_events,provider,feed_status,source_url
2018,final,4,group,43817,Iran,01_15_30,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,4,group,43817,Iran,02_30_half_time,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,4,group,43817,Iran,03_45_60,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,4,group,43817,Iran,04_60_75,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,4,group,43817,Iran,05_75_full_time,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,4,group,43817,Iran,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,4,group,43817,Iran,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,5,group,43946,France,00_0_15,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,5,group,43946,France,01_15_30,2,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,5,group,43946,France,02_30_half_time,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,5,group,43946,France,03_45_60,5,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,5,group,43946,France,04_60_75,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,5,group,43946,France,05_75_full_time,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,5,group,43946,France,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,5,group,43946,France,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,5,group,43976,Australia,00_0_15,5,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,5,group,43976,Australia,01_15_30,5,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,5,group,43976,Australia,02_30_half_time,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,5,group,43976,Australia,03_45_60,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,5,group,43976,Australia,04_60_75,1,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,5,group,43976,Australia,05_75_full_time,4,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,5,group,43976,Australia,06_extra_time_1,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,5,group,43976,Australia,07_extra_time_2,0,StatsBomb open data,complete,https://github.com/statsbomb/open-data
2018,final,6,group,43929,Peru,00_0_15,3,StatsBomb open data,complete,https://github.com/statsbomb/open-data
