edition,edition_status,match_number,stage,team_id,team,goals_for,goals_against,source_url
2014,final,32,group,43843,Algeria,4,2,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,33,group,43849,Cameroon,1,4,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,33,group,43924,Brazil,4,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,34,group,43938,Croatia,1,3,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,34,group,43911,Mexico,3,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,35,group,43976,Australia,0,3,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,35,group,43969,Spain,3,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,36,group,43960,Netherlands,2,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,36,group,43925,Chile,0,2,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,37,group,43819,Japan,1,4,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,37,group,43926,Colombia,4,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,38,group,43949,Greece,2,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,38,group,43854,Côte d'Ivoire,1,2,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,39,group,43954,Italy,0,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,39,group,43930,Uruguay,1,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,40,group,43901,Costa Rica,0,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,40,group,43942,England,0,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,41,group,43909,Honduras,0,3,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,41,group,43971,Switzerland,3,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,42,group,43927,Ecuador,0,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,42,group,43946,France,0,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,43,group,43876,Nigeria,2,3,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,43,group,43922,Argentina,3,2,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,44,group,44037,Bosnia-Herzegovina,3,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,44,group,43817,Iran,1,3,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,45,group,43921,United States,0,1,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
2014,final,45,group,43948,Germany,1,0,https://www.fifa.com/tournaments/mens/worldcup/2014brazil
