edition,match_number,match_id,date_utc,stage,group_name,home_team_id,home_team,away_team_id,away_team,winner_team_id,winner_team,nominal_minutes,t_end_min,t_end_source,source_url,source_archive
2014,28,300186511,2014-06-21T22:00:00Z,group,Group F,43876,Nigeria,44037,Bosnia-Herzegovina,43876,Nigeria,90,93.27,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m028_300186511.json
2014,29,300186493,2014-06-21T19:00:00Z,group,Group G,43948,Germany,43860,Ghana,,,90,94.32,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m029_300186493.json
2014,30,300186483,2014-06-22T22:00:00Z,group,Group G,43921,United States,43963,Portugal,,,90,95.53,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m030_300186483.json
2014,31,300186481,2014-06-22T16:00:00Z,group,Group H,43935,Belgium,43965,Russia,43935,Belgium,90,93.33,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m031_300186481.json
2014,32,300186495,2014-06-22T19:00:00Z,group,Group H,43822,Korea Republic,43843,Algeria,43843,Algeria,90,94.1,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m032_300186495.json
2014,33,300186472,2014-06-23T20:00:00Z,group,Group A,43849,Cameroon,43924,Brazil,43924,Brazil,90,94.18,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m033_300186472.json
2014,34,300186452,2014-06-23T20:00:00Z,group,Group A,43938,Croatia,43911,Mexico,43911,Mexico,90,94.1,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m034_300186452.json
2014,35,300186467,2014-06-23T16:00:00Z,group,Group B,43976,Australia,43969,Spain,43969,Spain,90,93.08,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m035_300186467.json
2014,36,300186470,2014-06-23T16:00:00Z,group,Group B,43960,Netherlands,43925,Chile,43960,Netherlands,90,93.18,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m036_300186470.json
2014,37,300186457,2014-06-24T20:00:00Z,group,Group C,43819,Japan,43926,Colombia,43926,Colombia,90,93.25,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m037_300186457.json
2014,38,300186455,2014-06-24T20:00:00Z,group,Group C,43949,Greece,43854,Côte d'Ivoire,43949,Greece,90,93.92,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m038_300186455.json
2014,39,300186465,2014-06-24T16:00:00Z,group,Group D,43954,Italy,43930,Uruguay,43930,Uruguay,90,95.95,fotmob_period_clock,https://www.fotmob.com/api/data/matchDetails,data/raw/2014/fifa/timelines/m039_300186465.json
