edition,edition_status,ledger,event_scope,cohort,team_id,team,card_events,foul_events,red_weight,mean_card_segment,mean_foul_segment,delta,p_delta,q_delta,w1,p_w1,q_w1,bh_m,evidentiary_status,source_status,permutations,seed,note
2014,final,stripped,expanded,all_teams,43965,Russia,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43969,Spain,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43971,Switzerland,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43921,United States,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,stripped,expanded,all_teams,43930,Uruguay,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,full,knockout,knockout_teams,43843,Algeria,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,full,knockout,knockout_teams,43922,Argentina,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,full,knockout,knockout_teams,43935,Belgium,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,full,knockout,knockout_teams,43924,Brazil,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
2014,final,full,knockout,knockout_teams,43925,Chile,0,0,2.5,,,,,,,,,0,source_unavailable,source_unavailable,2000,20260713,Complete reproducible 2014 foul-event feed unavailable; no BH family created.
