edition,match_number,match_id,date_utc,stage,venue_side,team_id,team,opponent_team_id,opponent,primary_cohort,in_play_player_cards,fouls,rho,clock_variant,exp_match_min,exp_match_per_foul,opponent_exp_match_min,opponent_exp_match_per_foul,d_exp_match,d_exp_match_per_foul
2014,10,300186496,2014-06-15T19:00:00Z,group,home,43946,France,43909,Honduras,yes,3,13,2,end_minus_one,197.24,15.172308,215.4,15.385714,-18.16,-0.213407
2014,10,300186496,2014-06-15T19:00:00Z,group,away,43909,Honduras,43946,France,no,4,14,2,end_minus_one,215.4,15.385714,197.24,15.172308,18.16,0.213407
2014,10,300186496,2014-06-15T19:00:00Z,group,home,43946,France,43909,Honduras,yes,3,13,2,source_end,200.24,15.403077,220.4,15.742857,-20.16,-0.33978
2014,10,300186496,2014-06-15T19:00:00Z,group,away,43909,Honduras,43946,France,no,4,14,2,source_end,220.4,15.742857,200.24,15.403077,20.16,0.33978
2014,11,300186477,2014-06-15T22:00:00Z,group,home,43922,Argentina,44037,Bosnia-Herzegovina,yes,1,10,2,end_minus_one,68,6.8,30,2.142857,38,4.657143
2014,11,300186477,2014-06-15T22:00:00Z,group,away,44037,Bosnia-Herzegovina,43922,Argentina,no,1,14,2,end_minus_one,30,2.142857,68,6.8,-38,-4.657143
2014,11,300186477,2014-06-15T22:00:00Z,group,home,43922,Argentina,44037,Bosnia-Herzegovina,yes,1,10,2,source_end,69,6.9,31,2.214286,38,4.685714
2014,11,300186477,2014-06-15T22:00:00Z,group,away,44037,Bosnia-Herzegovina,43922,Argentina,no,1,14,2,source_end,31,2.214286,69,6.9,-38,-4.685714
2014,12,300186505,2014-06-16T19:00:00Z,group,home,43817,Iran,43876,Nigeria,no,1,18,2,end_minus_one,17.08,0.948889,0,0,17.08,0.948889
2014,12,300186505,2014-06-16T19:00:00Z,group,away,43876,Nigeria,43817,Iran,yes,0,16,2,end_minus_one,0,0,17.08,0.948889,-17.08,-0.948889
2014,12,300186505,2014-06-16T19:00:00Z,group,home,43817,Iran,43876,Nigeria,no,1,18,2,source_end,18.08,1.004444,0,0,18.08,1.004444
2014,12,300186505,2014-06-16T19:00:00Z,group,away,43876,Nigeria,43817,Iran,yes,0,16,2,source_end,0,0,18.08,1.004444,-18.08,-1.004444
2014,13,300186475,2014-06-16T16:00:00Z,group,home,43948,Germany,43963,Portugal,yes,0,8,2,end_minus_one,0,0,191.3,15.941667,-191.3,-15.941667
2014,13,300186475,2014-06-16T16:00:00Z,group,away,43963,Portugal,43948,Germany,no,2,12,2,end_minus_one,191.3,15.941667,0,0,191.3,15.941667
2014,13,300186475,2014-06-16T16:00:00Z,group,home,43948,Germany,43963,Portugal,yes,0,8,2,source_end,0,0,194.3,16.191667,-194.3,-16.191667
2014,13,300186475,2014-06-16T16:00:00Z,group,away,43963,Portugal,43948,Germany,no,2,12,2,source_end,194.3,16.191667,0,0,194.3,16.191667
2014,14,300186512,2014-06-16T22:00:00Z,group,home,43860,Ghana,43921,United States,no,2,10,2,end_minus_one,68.06,6.806,0,0,68.06,6.806
2014,14,300186512,2014-06-16T22:00:00Z,group,away,43921,United States,43860,Ghana,yes,0,12,2,end_minus_one,0,0,68.06,6.806,-68.06,-6.806
2014,14,300186512,2014-06-16T22:00:00Z,group,home,43860,Ghana,43921,United States,no,2,10,2,source_end,70.06,7.006,0,0,70.06,7.006
2014,14,300186512,2014-06-16T22:00:00Z,group,away,43921,United States,43860,Ghana,yes,0,12,2,source_end,0,0,70.06,7.006,-70.06,-7.006
2014,15,300186479,2014-06-17T16:00:00Z,group,home,43935,Belgium,43843,Algeria,yes,1,20,2,end_minus_one,69.18,3.459,59.18,3.287778,10,0.171222
2014,15,300186479,2014-06-17T16:00:00Z,group,away,43843,Algeria,43935,Belgium,yes,1,18,2,end_minus_one,59.18,3.287778,69.18,3.459,-10,-0.171222
2014,15,300186479,2014-06-17T16:00:00Z,group,home,43935,Belgium,43843,Algeria,yes,1,20,2,source_end,70.18,3.509,60.18,3.343333,10,0.165667
2014,15,300186479,2014-06-17T16:00:00Z,group,away,43843,Algeria,43935,Belgium,yes,1,18,2,source_end,60.18,3.343333,70.18,3.509,-10,-0.165667
2014,16,300186499,2014-06-17T22:00:00Z,group,home,43965,Russia,43822,Korea Republic,no,1,15,2,end_minus_one,45.05,3.003333,149.15,21.307143,-104.1,-18.30381
2014,16,300186499,2014-06-17T22:00:00Z,group,away,43822,Korea Republic,43965,Russia,no,3,7,2,end_minus_one,149.15,21.307143,45.05,3.003333,104.1,18.30381
2014,16,300186499,2014-06-17T22:00:00Z,group,home,43965,Russia,43822,Korea Republic,no,1,15,2,source_end,46.05,3.07,152.15,21.735714,-106.1,-18.665714
2014,16,300186499,2014-06-17T22:00:00Z,group,away,43822,Korea Republic,43965,Russia,no,3,7,2,source_end,152.15,21.735714,46.05,3.07,106.1,18.665714
2014,17,300186509,2014-06-17T19:00:00Z,group,home,43924,Brazil,43911,Mexico,yes,2,13,2,end_minus_one,61.1,4.7,65.1,3.616667,-4,1.083333
