edition,team_id,team,primary_cohort,rho,mu,exposed_players,mean_omega,fouls_all,fouls_knockout,exp_susp_min,exp_susp_per_foul_all,exp_susp_per_foul_knockout
2022,43927,Ecuador,no,2,1.25,0,,49,0,0,0,
2022,43930,Uruguay,no,2,1.25,0,,31,0,0,0,
2022,43935,Belgium,no,2,1.25,0,,28,0,0,0,
2022,43938,Croatia,yes,2,1.25,7,0.722567288,76,45,598.457971,7.874447,13.299066
2022,43941,Denmark,no,2,1.25,0,,27,0,0,0,
2022,43942,England,yes,2,1.25,0,,53,26,0,0,0
2022,43946,France,yes,2,1.25,8,0.703837719,67,52,431.482456,6.440037,8.29774
2022,43948,Germany,no,2,1.25,0,,26,0,0,0,
2022,43960,Netherlands,yes,2,1.25,9,0.561342593,82,38,430.229167,5.246697,11.32182
2022,43962,Poland,yes,2,1.25,6,0.803240741,45,8,822.85,18.285556,102.85625
2022,43963,Portugal,yes,2,1.25,6,0.7,56,21,709.586667,12.67119,33.789841
2022,43969,Spain,yes,2,1.25,2,0.851282051,39,14,247.230769,6.33925,17.659341
2022,43971,Switzerland,yes,2,1.25,8,0.64224537,51,10,917.622222,17.992593,91.762222
2022,43974,Wales,no,2,1.25,0,,32,0,0,0,
2022,43976,Australia,yes,2,1.25,5,0.849444444,47,14,764.5,16.265957,54.607143
2026,1895293,Curaçao,no,2,1.25,0,,32,0,0,0,
2026,20014,Congo DR,yes,2,1.25,1,0.716666667,44,12,174.15,3.957955,14.5125
2026,43817,IR Iran,no,2,1.25,0,,35,0,0,0,
2026,43818,Iraq,no,2,1.25,0,,27,0,0,0,
2026,43819,Japan,yes,2,1.25,3,0.594444444,55,13,421.666667,7.666667,32.435897
2026,43820,Jordan,no,2,1.25,0,,31,0,0,0,
2026,43822,Korea Republic,no,2,1.25,0,,25,0,0,0,
2026,43834,Qatar,no,2,1.25,0,,36,0,0,0,
2026,43835,Saudi Arabia,no,2,1.25,0,,29,0,0,0,
2026,43843,Algeria,yes,2,1.25,2,0.677777778,29,12,304.4,10.496552,25.366667
2026,43850,Cabo Verde,yes,2,1.25,1,0.945945946,27,12,191.081081,7.077077,15.923423
2026,43854,Côte d'Ivoire,yes,2,1.25,0,,29,6,0,0,0
2026,43855,Egypt,yes,2,1.25,6,0.809327738,59,25,597.766505,10.131636,23.91066
2026,43860,Ghana,yes,2,1.25,3,0.435185185,56,10,276.661111,4.940377,27.666111
2026,43872,Morocco,yes,2,1.25,5,0.746666667,74,42,593.792983,8.024229,14.137928
2026,43879,Senegal,yes,2,1.25,1,0.635897436,36,12,129.08718,3.585755,10.757265
2026,43883,South Africa,yes,2,1.25,1,0.273809524,38,10,30.803571,0.81062,3.080357
2026,43888,Tunisia,no,2,1.25,0,,27,0,0,0,
2026,43899,Canada,yes,2,1.25,6,0.637407408,72,40,562.242222,7.80892,14.056056
2026,43908,Haiti,no,2,1.25,0,,55,0,0,0,
2026,43911,Mexico,yes,2,1.25,2,0.787777778,58,24,160.535556,2.767854,6.688981
2026,43914,Panama,no,2,1.25,0,,46,0,0,0,
2026,43921,USA,yes,2,1.25,3,0.842501747,56,18,286.675388,5.119203,15.92641
2026,43922,Argentina,yes,2,1.25,4,0.280833333,73,40,60.763333,0.832374,1.519083
2026,43924,Brazil,yes,2,1.25,3,0.627901235,51,11,429.702222,8.425534,39.063838
2026,43926,Colombia,yes,2,1.25,4,0.6921875,70,35,460.1875,6.574107,13.148214
2026,43927,Ecuador,yes,2,1.25,4,0.684027778,49,14,358.077778,7.30771,25.576984
2026,43928,Paraguay,yes,2,1.25,3,0.907826409,66,25,458.610163,6.948639,18.344407
2026,43930,Uruguay,no,2,1.25,0,,31,0,0,0,
2026,43934,Austria,yes,2,1.25,1,0.922222222,47,15,172.455556,3.669267,11.497037
2026,43935,Belgium,yes,2,1.25,3,0.577192982,78,49,209.549123,2.686527,4.276513
2026,43938,Croatia,yes,2,1.25,2,0.943055555,45,12,377.969444,8.399321,31.497454
2026,43942,England,yes,2,1.25,6,0.590446076,62,25,594.257079,9.584792,23.770283
2026,43946,France,yes,2,1.25,3,0.685802469,59,35,231.542593,3.924451,6.615503
2026,43948,Germany,yes,2,1.25,2,0.802564102,51,18,309.95641,6.077577,17.219801
2026,43960,Netherlands,yes,2,1.25,0,,44,18,0,0,0
2026,43961,Norway,yes,2,1.25,2,0.701754386,58,23,135.298246,2.332728,5.882532
2026,43963,Portugal,yes,2,1.25,3,0.66962963,44,15,317.408889,7.213838,21.160593
2026,43967,Scotland,no,2,1.25,0,,42,0,0,0,
2026,43969,Spain,yes,2,1.25,3,0.795679012,68,34,87.22037,1.282653,2.565305
2026,43970,Sweden,yes,2,1.25,0,,43,10,0,0,0
2026,43971,Switzerland,yes,2,1.25,4,0.679467537,87,50,345.955404,3.976499,6.919108
2026,43972,Türkiye,no,2,1.25,0,,31,0,0,0,
2026,43976,Australia,yes,2,1.25,0,,46,12,0,0,0
2026,43978,New Zealand,no,2,1.25,0,,32,0,0,0,
2026,43995,Czechia,no,2,1.25,0,,37,0,0,0,
2026,44005,Uzbekistan,no,2,1.25,0,,45,0,0,0,
2026,44037,Bosnia and Herzegovina,yes,2,1.25,1,0.5,59,13,95,1.610169,7.307692
