edition,edition_status,cohort,team_id,team,lambda_md2,card_events,fouls_md2,exp_susp_md2_min,exp_susp_md2_per_foul,rank,teams,match_scope
2026,provisional_M100,second_knockout_round_teams,43922,Argentina,1.5,6,53,40.267023,0.759755,16,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43942,England,2,7,39,261.885802,6.715021,1,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43872,Morocco,2,7,50,321.296491,6.42593,2,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43924,Brazil,2,4,24,152.631111,6.35963,3,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43921,USA,2,6,30,180.883774,6.029459,4,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43928,Paraguay,2,4,40,224.32337,5.608084,5,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43971,Switzerland,2,6,57,316.467848,5.552068,6,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43899,Canada,2,7,49,256.333333,5.231293,7,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43926,Colombia,2,6,47,188.3875,4.008245,8,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43963,Portugal,2,4,29,109.688889,3.782375,9,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43855,Egypt,2,6,33,110.362085,3.344306,10,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43935,Belgium,2,5,56,158.703509,2.833991,11,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43946,France,2,3,43,59.066667,1.373643,12,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43969,Spain,2,3,44,60.387037,1.372433,13,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43961,Norway,2,2,36,34.245614,0.951267,14,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43911,Mexico,2,2,33,28.817778,0.873266,15,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43922,Argentina,2,6,53,40.267023,0.759755,16,16,group_matchday_2_plus_knockout_non_third
