edition,match_number,fifa_match_id,stage,date_utc,team,opponent,team_id,is_official,recipient,id_player,card_type,minute_label,t_min,period,basis,t_end_min,t_end_source,rho,W1,D1,N_horizon,W2,first_yellow_t_min,event_description
2014,9,300186494,First stage,2014-06-15T16:00:00Z,Ecuador,Switzerland,43927,0,Paredes,349576,Y,52',52.0,5,90.0,93.87,fotmob,1,38.0,41.87,4,398.0,,Paredes (Ecuador) is booked by the referee.
2014,9,300186494,First stage,2014-06-15T16:00:00Z,Switzerland,Ecuador,43971,0,DJOUROU,216645,Y,83',83.0,5,90.0,93.87,fotmob,1,7.0,10.87,4,367.0,,DJOUROU (Switzerland) is booked by the referee.
2014,10,300186496,First stage,2014-06-15T19:00:00Z,France,Honduras,43946,0,Patrice EVRA,212246,Y,6',6.0,3,90.0,93.08,fotmob,1,84.0,87.08,4,444.0,,Patrice EVRA (France) is booked by the referee.
2014,10,300186496,First stage,2014-06-15T19:00:00Z,Honduras,France,43909,0,W. Palacios,209827,Y,27',27.0,3,90.0,93.08,fotmob,1,63.0,66.08,4,423.0,,W. Palacios (Honduras) is booked by the referee.
2014,10,300186496,First stage,2014-06-15T19:00:00Z,France,Honduras,43946,0,POGBA,367388,Y,27',27.0,3,90.0,93.08,fotmob,1,63.0,66.08,4,423.0,,POGBA (France) is booked by the referee.
2014,10,300186496,First stage,2014-06-15T19:00:00Z,Honduras,France,43909,0,W. Palacios,209827,Y2,42',42.0,3,90.0,93.08,fotmob,2,48.0,102.16,4,,27.0,W. Palacios (Honduras) is booked by the referee.
2014,10,300186496,First stage,2014-06-15T19:00:00Z,France,Honduras,43946,0,Cabaye,358013,Y,45'+1',46.0,3,90.0,93.08,fotmob,1,44.0,47.08,4,404.0,,Cabaye (France) is booked by the referee.
2014,10,300186496,First stage,2014-06-15T19:00:00Z,Honduras,France,43909,0,B. García,237071,Y,52',52.0,5,90.0,93.08,fotmob,1,38.0,41.08,4,398.0,,B. García (Honduras) is booked by the referee.
2014,10,300186496,First stage,2014-06-15T19:00:00Z,Honduras,France,43909,0,L. Garrido,270400,Y,82',82.0,5,90.0,93.08,fotmob,1,8.0,11.08,4,368.0,,L. Garrido (Honduras) is booked by the referee.
2014,11,300186477,First stage,2014-06-15T22:00:00Z,Argentina,Bosnia-Herzegovina,43922,0,M. Rojo,318688,Y,24',24.0,3,90.0,93.0,fotmob,1,66.0,69.0,4,426.0,,M. Rojo (Argentina) is booked by the referee.
2014,11,300186477,First stage,2014-06-15T22:00:00Z,Bosnia-Herzegovina,Argentina,44037,0,Spahic,216069,Y,62',62.0,5,90.0,93.0,fotmob,1,28.0,31.0,4,388.0,,Spahic (Bosnia-Herzegovina) is booked by the referee.
2014,12,300186505,First stage,2014-06-16T19:00:00Z,Iran,Nigeria,43817,0,Teymourian,237949,Y,74',74.0,5,90.0,92.08,fotmob,1,16.0,18.08,4,376.0,,Teymourian (Iran) is booked by the referee.
2014,13,300186475,First stage,2014-06-16T16:00:00Z,Portugal,Germany,43963,0,Pereira,214407,Y,10',10.0,3,90.0,92.1,fotmob,1,80.0,82.1,4,440.0,,Pereira (Portugal) is booked by the referee.
2014,13,300186475,First stage,2014-06-16T16:00:00Z,Portugal,Germany,43963,0,Pepe,275931,R,36',36.0,3,90.0,92.1,fotmob,2,,112.2,4,,,Pepe (Portugal) is sent off!
2014,14,300186512,First stage,2014-06-16T22:00:00Z,Ghana,United States,43860,0,Rabiu,311850,Y,29',29.0,3,90.0,95.03,fotmob,1,61.0,66.03,4,421.0,,Rabiu (Ghana) is booked by the referee.
2014,14,300186512,First stage,2014-06-16T22:00:00Z,Ghana,United States,43860,0,Sulley MUNTARI,183000,Y,90'+1',91.0,5,90.0,95.03,fotmob,1,0.0,4.03,4,360.0,,Sulley MUNTARI (Ghana) is booked by the referee.
2014,15,300186479,First stage,2014-06-17T16:00:00Z,Belgium,Algeria,43935,0,VERTONGHEN,290904,Y,23',23.0,3,90.0,93.18,fotmob,1,67.0,70.18,4,427.0,,VERTONGHEN (Belgium) is booked by the referee.
2014,15,300186479,First stage,2014-06-17T16:00:00Z,Algeria,Belgium,43843,0,N. Bentaleb,379939,Y,33',33.0,3,90.0,93.18,fotmob,1,57.0,60.18,4,417.0,,N. Bentaleb (Algeria) is booked by the referee.
2014,16,300186499,First stage,2014-06-17T22:00:00Z,Korea Republic,Russia,43822,0,H M SON,307849,Y,12',12.0,3,90.0,94.05,fotmob,1,78.0,82.05,4,438.0,,H M SON (Korea Republic) is booked by the referee.
2014,16,300186499,First stage,2014-06-17T22:00:00Z,Korea Republic,Russia,43822,0,S Y KI,268406,Y,29',29.0,3,90.0,94.05,fotmob,1,61.0,65.05,4,421.0,,S Y KI (Korea Republic) is booked by the referee.
2014,16,300186499,First stage,2014-06-17T22:00:00Z,Russia,Korea Republic,43965,0,O. Shatov,358891,Y,48',48.0,5,90.0,94.05,fotmob,1,42.0,46.05,4,402.0,,O. Shatov (Russia) is booked by the referee.
2014,16,300186499,First stage,2014-06-17T22:00:00Z,Korea Republic,Russia,43822,0,J C KOO,291393,Y,89',89.0,5,90.0,94.05,fotmob,1,1.0,5.05,4,361.0,,J C KOO (Korea Republic) is booked by the referee.
