edition,match_number,fifa_match_id,stage,date_utc,team,opponent,team_id,is_official,recipient,id_player,card_type,minute_label,t_min,period,basis,t_end_min,t_end_source,rho,W1,D1,N_horizon,W2,first_yellow_t_min,event_description
2018,10,300331529,First stage,2018-06-17T12:00:00Z,Costa Rica,Serbia,43901,0,D. GUZMAN,270143,Y,56',56.0,5,90.0,98.0,timeline_period_label,1,34.0,42.0,4,394.0,,D. GUZMAN (Costa Rica) is booked by the referee.
2018,10,300331529,First stage,2018-06-17T12:00:00Z,Serbia,Costa Rica,1902465,0,IVANOVIĆ,214388,Y,59',59.0,5,90.0,98.0,timeline_period_label,1,31.0,39.0,4,391.0,,IVANOVIĆ (Serbia) is booked by the referee.
2018,10,300331529,First stage,2018-06-17T12:00:00Z,Serbia,Costa Rica,1902465,0,PRIJOVIĆ,294103,Y,90'+8',98.0,5,90.0,98.0,timeline_period_label,1,0.0,0.0,4,360.0,,PRIJOVIĆ (Serbia) is booked by the referee.
2018,11,300331502,First stage,2018-06-17T15:00:00Z,Mexico,Germany,43911,0,H. MORENO,238112,Y,40',40.0,3,90.0,94.0,timeline_period_label,1,50.0,54.0,4,410.0,,H. MORENO (Mexico) is booked by the referee.
2018,11,300331502,First stage,2018-06-17T15:00:00Z,Germany,Mexico,43948,0,MÜLLER,321722,Y,83',83.0,5,90.0,94.0,timeline_period_label,1,7.0,11.0,4,367.0,,MÜLLER (Germany) is booked by the referee.
2018,11,300331502,First stage,2018-06-17T15:00:00Z,Germany,Mexico,43948,0,HUMMELS,311150,Y,84',84.0,5,90.0,94.0,timeline_period_label,1,6.0,10.0,4,366.0,,HUMMELS (Germany) is booked by the referee.
2018,11,300331502,First stage,2018-06-17T15:00:00Z,Mexico,Germany,43911,0,H. HERRERA,329092,Y,90',90.0,5,90.0,94.0,timeline_period_label,1,0.0,4.0,4,360.0,,H. HERRERA (Mexico) is booked by the referee.
2018,12,300331499,First stage,2018-06-18T12:00:00Z,Korea Republic,Sweden,43822,0,S W KIM,321745,Y,13',13.0,3,90.0,95.0,timeline_period_label,1,77.0,82.0,4,437.0,,S W KIM (Korea Republic) is booked by the referee.
2018,12,300331499,First stage,2018-06-18T12:00:00Z,Korea Republic,Sweden,43822,0,H C HWANG,395083,Y,55',55.0,5,90.0,95.0,timeline_period_label,1,35.0,40.0,4,395.0,,H C HWANG (Korea Republic) is booked by the referee.
2018,12,300331499,First stage,2018-06-18T12:00:00Z,Sweden,Korea Republic,43970,0,CLAESSON,401465,Y,61',61.0,5,90.0,95.0,timeline_period_label,1,29.0,34.0,4,389.0,,CLAESSON (Sweden) is booked by the referee.
2018,13,300331539,First stage,2018-06-18T15:00:00Z,Belgium,Panama,43935,0,MEUNIER,358122,Y,14',14.0,3,90.0,95.0,timeline_period_label,1,76.0,81.0,4,436.0,,MEUNIER (Belgium) is booked by the referee.
2018,13,300331539,First stage,2018-06-18T15:00:00Z,Panama,Belgium,43914,0,DAVIS,337232,Y,18',18.0,3,90.0,95.0,timeline_period_label,1,72.0,77.0,4,432.0,,DAVIS (Panama) is booked by the referee.
2018,13,300331539,First stage,2018-06-18T15:00:00Z,Panama,Belgium,43914,0,BARCENAS,400416,Y,45'+2',47.0,3,90.0,95.0,timeline_period_label,1,43.0,48.0,4,403.0,,BARCENAS (Panama) is booked by the referee.
2018,13,300331539,First stage,2018-06-18T15:00:00Z,Panama,Belgium,43914,0,COOPER,267700,Y,49',49.0,5,90.0,95.0,timeline_period_label,1,41.0,46.0,4,401.0,,COOPER (Panama) is booked by the referee.
2018,13,300331539,First stage,2018-06-18T15:00:00Z,Panama,Belgium,43914,0,MURILLO,385031,Y,51',51.0,5,90.0,95.0,timeline_period_label,1,39.0,44.0,4,399.0,,MURILLO (Panama) is booked by the referee.
2018,13,300331539,First stage,2018-06-18T15:00:00Z,Panama,Belgium,43914,0,GODOY,269514,Y,57',57.0,5,90.0,95.0,timeline_period_label,1,33.0,38.0,4,393.0,,GODOY (Panama) is booked by the referee.
2018,13,300331539,First stage,2018-06-18T15:00:00Z,Belgium,Panama,43935,0,VERTONGHEN,290904,Y,59',59.0,5,90.0,95.0,timeline_period_label,1,31.0,36.0,4,391.0,,VERTONGHEN (Belgium) is booked by the referee.
2018,13,300331539,First stage,2018-06-18T15:00:00Z,Belgium,Panama,43935,0,DE BRUYNE,358120,Y,88',88.0,5,90.0,95.0,timeline_period_label,1,2.0,7.0,4,362.0,,DE BRUYNE (Belgium) is booked by the referee.
2018,14,300331554,First stage,2018-06-18T18:00:00Z,England,Tunisia,43942,0,WALKER,356750,Y,34',34.0,3,90.0,95.0,timeline_period_label,1,56.0,61.0,4,416.0,,WALKER (England) is booked by the referee.
2018,15,300331545,First stage,2018-06-19T15:00:00Z,Poland,Senegal,43962,0,KRYCHOWIAK,269735,Y,12',12.0,3,90.0,95.0,timeline_period_label,1,78.0,83.0,4,438.0,,KRYCHOWIAK (Poland) is booked by the referee.
2018,15,300331545,First stage,2018-06-19T15:00:00Z,Senegal,Poland,43879,0,S. SANE,370169,Y,49',49.0,5,90.0,95.0,timeline_period_label,1,41.0,46.0,4,401.0,,S. SANE (Senegal) is booked by the referee.
2018,15,300331545,First stage,2018-06-19T15:00:00Z,Senegal,Poland,43879,0,GANA,332314,Y,72',72.0,5,90.0,95.0,timeline_period_label,1,18.0,23.0,4,378.0,,GANA (Senegal) is booked by the referee.
2018,16,300331550,First stage,2018-06-19T12:00:00Z,Colombia,Japan,43926,0,C. SANCHEZ,280487,R,4',4.0,3,90.0,96.0,timeline_period_label,2,,184.0,4,,,C. SANCHEZ (Colombia) is sent off!
2018,16,300331550,First stage,2018-06-19T12:00:00Z,Colombia,Japan,43926,0,BARRIOS,394377,Y,64',64.0,5,90.0,96.0,timeline_period_label,1,26.0,32.0,4,386.0,,BARRIOS (Colombia) is booked by the referee.
2018,16,300331550,First stage,2018-06-19T12:00:00Z,Colombia,Japan,43926,0,JAMES,269058,Y,86',86.0,5,90.0,96.0,timeline_period_label,1,4.0,10.0,4,364.0,,JAMES (Colombia) is booked by the referee.
2018,16,300331550,First stage,2018-06-19T12:00:00Z,Japan,Colombia,43819,0,KAWASHIMA,198117,Y,90'+3',93.0,5,90.0,96.0,timeline_period_label,1,0.0,3.0,4,360.0,,KAWASHIMA (Japan) is booked by the referee.
2018,17,300331495,First stage,2018-06-19T18:00:00Z,Egypt,Russia,43855,0,M. TREZIGUET,363863,Y,57',57.0,5,90.0,95.0,timeline_period_label,1,33.0,38.0,3,303.0,,M. TREZIGUET (Egypt) is booked by the referee.
2018,17,300331495,First stage,2018-06-19T18:00:00Z,Russia,Egypt,43965,0,SMOLOV,358871,Y,84',84.0,5,90.0,95.0,timeline_period_label,1,6.0,11.0,3,276.0,,SMOLOV (Russia) is booked by the referee.
2018,19,300331511,First stage,2018-06-20T12:00:00Z,Morocco,Portugal,43872,0,BENATIA,305954,Y,40',40.0,3,90.0,96.0,timeline_period_label,1,50.0,56.0,3,320.0,,BENATIA (Morocco) is booked by the referee.
2018,19,300331511,First stage,2018-06-20T12:00:00Z,Portugal,Morocco,43963,0,ADRIEN,319491,Y,90'+2',92.0,5,90.0,96.0,timeline_period_label,1,0.0,4.0,3,270.0,,ADRIEN (Portugal) is booked by the referee.
2018,20,300331496,First stage,2018-06-20T18:00:00Z,Iran,Spain,43817,0,V. AMIRI,384795,Y,79',79.0,5,90.0,95.0,timeline_period_label,1,11.0,16.0,3,281.0,,V. AMIRI (IR Iran) is booked by the referee.
2018,20,300331496,First stage,2018-06-20T18:00:00Z,Iran,Spain,43817,0,OMID,346735,Y,90'+2',92.0,5,90.0,95.0,timeline_period_label,1,0.0,3.0,3,270.0,,OMID (IR Iran) is booked by the referee.
2018,21,300331527,First stage,2018-06-21T15:00:00Z,France,Peru,43946,0,MATUIDI,358014,Y,16',16.0,3,90.0,95.0,timeline_period_label,1,74.0,79.0,3,344.0,,MATUIDI (France) is booked by the referee.
2018,21,300331527,First stage,2018-06-21T15:00:00Z,Peru,France,43929,0,GUERRERO,225497,Y,23',23.0,3,90.0,95.0,timeline_period_label,1,67.0,72.0,3,337.0,,GUERRERO (Peru) is booked by the referee.
2018,21,300331527,First stage,2018-06-21T15:00:00Z,Peru,France,43929,0,AQUINO,397696,Y,81',81.0,5,90.0,95.0,timeline_period_label,1,9.0,14.0,3,279.0,,AQUINO (Peru) is booked by the referee.
2018,21,300331527,First stage,2018-06-21T15:00:00Z,France,Peru,43946,0,POGBA,367388,Y,86',86.0,5,90.0,95.0,timeline_period_label,1,4.0,9.0,3,274.0,,POGBA (France) is booked by the referee.
2018,22,300331518,First stage,2018-06-21T12:00:00Z,Denmark,Australia,43941,0,YURARY,336133,Y,37',37.0,3,90.0,94.0,timeline_period_label,1,53.0,57.0,3,323.0,,YURARY (Denmark) is booked by the referee.
