edition,match_number,team,opponent,cards,sum_W1,sum_D1,sum_D1_endm1,d1_complete
2022,1,Ecuador,Qatar,2,95.0,107.0,105.0,1
2022,1,Qatar,Ecuador,4,209.0,233.0,229.0,1
2022,2,Netherlands,Senegal,1,34.0,45.0,44.0,1
2022,2,Senegal,Netherlands,2,0.0,12.0,10.0,1
2022,3,Iran,England,2,107.0,135.0,133.0,1
2022,4,United States,Wales,4,195.0,229.0,225.0,1
2022,4,Wales,United States,2,93.0,115.0,113.0,1
2022,5,Australia,France,3,45.0,64.0,61.0,1
2022,6,Denmark,Tunisia,2,78.0,94.0,92.0,1
2022,6,Tunisia,Denmark,1,4.0,12.0,11.0,1
2022,7,Mexico,Poland,2,95.0,111.0,109.0,1
2022,7,Poland,Mexico,1,14.0,22.0,21.0,1
2022,8,Saudi Arabia,Argentina,6,59.0,141.0,135.0,1
2022,9,Belgium,Canada,3,151.0,169.0,166.0,1
2022,9,Canada,Belgium,2,16.0,28.0,26.0,1
2022,10,Costa Rica,Spain,2,22.0,33.0,31.0,1
2022,12,Morocco,Croatia,1,12.0,19.0,18.0,1
2022,13,Cameroon,Switzerland,1,54.0,61.0,60.0,1
2022,13,Switzerland,Cameroon,2,33.0,47.0,45.0,1
2022,14,Korea Republic,Uruguay,1,2.0,10.0,9.0,1
2022,14,Uruguay,Korea Republic,1,33.0,41.0,40.0,1
2022,15,Ghana,Portugal,4,118.0,161.0,157.0,1
2022,15,Portugal,Ghana,2,0.0,16.0,14.0,1
2022,16,Serbia,Brazil,3,150.0,174.0,171.0,1
2022,17,Iran,Wales,2,0.0,16.0,14.0,1
2022,17,Wales,Iran,2,42.0,89.0,86.0,1
2022,18,Qatar,Senegal,3,113.0,133.0,130.0,1
2022,18,Senegal,Qatar,3,101.0,122.0,119.0,1
2022,19,Ecuador,Netherlands,1,33.0,40.0,39.0,1
2022,21,Tunisia,Australia,3,90.0,108.0,105.0,1
2022,22,Poland,Saudi Arabia,3,220.0,244.0,241.0,1
2022,22,Saudi Arabia,Poland,2,111.0,127.0,125.0,1
2022,23,Denmark,France,2,137.0,153.0,151.0,1
2022,23,France,Denmark,1,47.0,55.0,54.0,1
2022,24,Argentina,Mexico,1,47.0,54.0,53.0,1
2022,24,Mexico,Argentina,4,133.0,161.0,157.0,1
2022,25,Costa Rica,Japan,3,98.0,119.0,116.0,1
2022,25,Japan,Costa Rica,3,52.0,70.0,67.0,1
2022,26,Belgium,Morocco,1,61.0,67.0,66.0,1
2022,26,Morocco,Belgium,1,0.0,1.0,0.0,1
2022,27,Canada,Croatia,2,43.0,57.0,55.0,1
2022,27,Croatia,Canada,2,39.0,53.0,51.0,1
2022,28,Germany,Spain,3,115.0,133.0,130.0,1
2022,28,Spain,Germany,1,46.0,52.0,51.0,1
2022,29,Cameroon,Serbia,2,126.0,140.0,138.0,1
2022,29,Serbia,Cameroon,2,41.0,52.0,50.0,1
2022,30,Ghana,Korea Republic,2,86.0,108.0,106.0,1
