edition,match_number,team,opponent,cards,sum_W1,sum_D1,sum_D1_endm1,d1_complete
2018,1,Russia,Saudi Arabia,1,2.0,7.0,6.0,1
2018,1,Saudi Arabia,Russia,1,0.0,2.0,1.0,1
2018,2,Egypt,Uruguay,2,0.0,4.0,2.0,1
2018,3,Portugal,Spain,1,62.0,68.0,67.0,1
2018,3,Spain,Portugal,1,73.0,79.0,78.0,1
2018,4,Iran,Morocco,3,123.0,142.0,139.0,1
2018,4,Morocco,Iran,1,56.0,63.0,62.0,1
2018,5,Australia,France,3,113.0,131.0,128.0,1
2018,5,France,Australia,1,14.0,20.0,19.0,1
2018,6,Denmark,Peru,2,4.0,13.0,11.0,1
2018,6,Peru,Denmark,1,52.0,58.0,57.0,1
2018,8,Croatia,Nigeria,2,61.0,71.0,69.0,1
2018,8,Nigeria,Croatia,1,20.0,25.0,24.0,1
2018,9,Brazil,Switzerland,1,43.0,50.0,49.0,1
2018,9,Switzerland,Brazil,3,106.0,127.0,124.0,1
2018,10,Costa Rica,Serbia,2,102.0,118.0,116.0,1
2018,10,Serbia,Costa Rica,2,31.0,39.0,38.0,1
2018,11,Germany,Mexico,2,13.0,21.0,19.0,1
2018,11,Mexico,Germany,2,50.0,58.0,56.0,1
2018,12,Korea Republic,Sweden,2,112.0,122.0,120.0,1
2018,12,Sweden,Korea Republic,1,29.0,34.0,33.0,1
2018,13,Belgium,Panama,3,109.0,124.0,121.0,1
2018,13,Panama,Belgium,5,228.0,253.0,248.0,1
2018,14,England,Tunisia,1,56.0,61.0,60.0,1
2018,15,Poland,Senegal,1,78.0,83.0,82.0,1
2018,15,Senegal,Poland,2,59.0,69.0,67.0,1
2018,16,Colombia,Japan,3,30.0,226.0,222.0,1
2018,16,Japan,Colombia,1,0.0,3.0,2.0,1
2018,17,Egypt,Russia,1,33.0,38.0,37.0,1
2018,17,Russia,Egypt,1,6.0,11.0,10.0,1
2018,19,Morocco,Portugal,1,50.0,56.0,55.0,1
2018,19,Portugal,Morocco,1,0.0,4.0,3.0,1
2018,20,Iran,Spain,2,11.0,19.0,17.0,1
2018,21,France,Peru,2,78.0,88.0,86.0,1
2018,21,Peru,France,2,76.0,86.0,84.0,1
2018,22,Denmark,Australia,2,59.0,67.0,65.0,1
2018,23,Argentina,Croatia,3,47.0,62.0,59.0,1
2018,23,Croatia,Argentina,4,106.0,122.0,118.0,1
2018,24,Nigeria,Iceland,1,46.0,53.0,52.0,1
2018,25,Brazil,Costa Rica,2,18.0,36.0,34.0,1
2018,25,Costa Rica,Brazil,1,6.0,15.0,14.0,1
2018,26,Serbia,Switzerland,4,154.0,178.0,174.0,1
2018,26,Switzerland,Serbia,1,0.0,5.0,4.0,1
2018,27,Germany,Sweden,2,27.0,59.0,56.0,1
2018,27,Sweden,Germany,2,38.0,47.0,45.0,1
2018,28,Korea Republic,Mexico,4,87.0,111.0,107.0,1
2018,29,Tunisia,Belgium,1,76.0,80.0,79.0,1
2018,30,England,Panama,1,67.0,72.0,71.0,1
2018,30,Panama,England,3,143.0,158.0,155.0,1
2018,31,Poland,Colombia,2,34.0,46.0,44.0,1
2018,32,Japan,Senegal,2,22.0,28.0,26.0,1
2018,32,Senegal,Japan,3,31.0,45.0,42.0,1
2018,33,Russia,Uruguay,3,197.0,271.0,267.0,1
2018,34,Egypt,Saudi Arabia,2,44.0,56.0,54.0,1
2018,35,Iran,Portugal,2,74.0,90.0,88.0,1
2018,35,Portugal,Iran,4,90.0,114.0,111.0,1
2018,36,Morocco,Spain,6,248.0,286.0,280.0,1
2018,37,Denmark,France,1,42.0,46.0,45.0,1
2018,38,Australia,Peru,4,136.0,156.0,152.0,1
2018,38,Peru,Australia,2,56.0,66.0,64.0,1
2018,39,Argentina,Nigeria,3,67.0,78.0,75.0,1
2018,39,Nigeria,Argentina,2,58.0,67.0,65.0,1
2018,40,Croatia,Iceland,2,83.0,93.0,91.0,1
2018,40,Iceland,Croatia,3,63.0,78.0,75.0,1
2018,41,Serbia,Brazil,3,118.0,130.0,127.0,1
2018,42,Costa Rica,Switzerland,3,140.0,158.0,155.0,1
2018,42,Switzerland,Costa Rica,3,75.0,93.0,90.0,1
2018,43,Korea Republic,Germany,4,215.0,255.0,251.0,1
2018,44,Mexico,Sweden,3,123.0,138.0,135.0,1
2018,44,Sweden,Mexico,2,66.0,76.0,74.0,1
2018,45,Belgium,England,2,128.0,136.0,134.0,1
2018,46,Panama,Tunisia,3,22.0,40.0,37.0,1
2018,46,Tunisia,Panama,3,65.0,86.0,83.0,1
2018,47,Japan,Poland,1,24.0,28.0,27.0,1
2018,48,Colombia,Senegal,1,45.0,50.0,49.0,1
2018,48,Senegal,Colombia,1,39.0,44.0,43.0,1
2018,49,Portugal,Uruguay,1,0.0,3.0,2.0,1
2018,50,Argentina,France,5,237.0,264.0,259.0,1
2018,50,France,Argentina,3,35.0,50.0,47.0,1
2018,51,Russia,Spain,2,55.0,119.0,117.0,1
2018,51,Spain,Russia,1,50.0,82.0,81.0,1
2018,52,Denmark,Croatia,1,5.0,7.0,6.0,1
2018,53,Brazil,Mexico,2,77.0,91.0,89.0,1
2018,53,Mexico,Brazil,4,100.0,126.0,122.0,1
2018,54,Japan,Belgium,1,50.0,56.0,55.0,1
2018,55,Sweden,Switzerland,1,59.0,66.0,65.0,1
2018,55,Switzerland,Sweden,3,51.0,71.0,67.0,1
2018,56,Colombia,England,6,178.0,340.0,334.0,1
2018,56,England,Colombia,2,55.0,119.0,117.0,1
