edition,match_number,fifa_match_id,stage,date_utc,team,opponent,team_id,is_official,recipient,id_player,card_type,minute_label,t_min,period,basis,t_end_min,t_end_source,rho,W1,D1,N_horizon,W2,first_yellow_t_min,event_description
2022,1,400128082,First stage,2022-11-20T16:00:00Z,Qatar,Ecuador,43834,0,AL SHEEB,284087,Y,15',15.0,3,90.0,96.0,timeline_period_label,1,75.0,81.0,4,435.0,,AL SHEEB (Qatar) is booked by the referee.
2022,1,400128082,First stage,2022-11-20T16:00:00Z,Qatar,Ecuador,43834,0,ALMOEZ,386366,Y,22',22.0,3,90.0,96.0,timeline_period_label,1,68.0,74.0,4,428.0,,ALMOEZ (Qatar) is booked by the referee.
2022,1,400128082,First stage,2022-11-20T16:00:00Z,Ecuador,Qatar,43927,0,M. CAICEDO,428885,Y,29',29.0,3,90.0,96.0,timeline_period_label,1,61.0,67.0,4,421.0,,M. CAICEDO (Ecuador) is booked by the referee.
2022,1,400128082,First stage,2022-11-20T16:00:00Z,Qatar,Ecuador,43834,0,KARIM,354861,Y,36',36.0,3,90.0,96.0,timeline_period_label,1,54.0,60.0,4,414.0,,KARIM (Qatar) is booked by the referee.
2022,1,400128082,First stage,2022-11-20T16:00:00Z,Ecuador,Qatar,43927,0,MENDEZ,428904,Y,56',56.0,5,90.0,96.0,timeline_period_label,1,34.0,40.0,4,394.0,,MENDEZ (Ecuador) is booked by the referee.
2022,1,400128082,First stage,2022-11-20T16:00:00Z,Qatar,Ecuador,43834,0,AFIF,386347,Y,78',78.0,5,90.0,96.0,timeline_period_label,1,12.0,18.0,4,372.0,,AFIF (Qatar) is booked by the referee.
2022,2,400235449,First stage,2022-11-21T16:00:00Z,Netherlands,Senegal,43960,0,DE LIGT,404560,Y,56',56.0,5,90.0,101.0,timeline_period_label,1,34.0,45.0,4,394.0,,DE LIGT (Netherlands) is booked by the referee.
2022,2,400235449,First stage,2022-11-21T16:00:00Z,Senegal,Netherlands,43879,0,N. MENDY,441319,Y,90'+4',94.0,5,90.0,101.0,timeline_period_label,1,0.0,7.0,4,360.0,,N. MENDY (Senegal) is booked by the referee.
2022,2,400235449,First stage,2022-11-21T16:00:00Z,Senegal,Netherlands,43879,0,GANA,332314,Y,90'+6',96.0,5,90.0,101.0,timeline_period_label,1,0.0,5.0,4,360.0,,GANA (Senegal) is booked by the referee.
2022,3,400235458,First stage,2022-11-21T13:00:00Z,Iran,England,43817,0,A. JAHANBAKHSH,379886,Y,25',25.0,3,90.0,104.0,timeline_period_label,1,65.0,79.0,4,425.0,,A. JAHANBAKHSH (Iran) is booked by the referee.
2022,3,400235458,First stage,2022-11-21T13:00:00Z,Iran,England,43817,0,M. POURALIGANJI,314249,Y,48',48.0,5,90.0,104.0,timeline_period_label,1,42.0,56.0,4,402.0,,M. POURALIGANJI (Iran) is booked by the referee.
2022,4,400235455,First stage,2022-11-21T19:00:00Z,United States,Wales,43921,0,DEST,406280,Y,11',11.0,3,90.0,101.0,timeline_period_label,1,79.0,90.0,4,439.0,,DEST (United States) is booked by the referee.
2022,4,400235455,First stage,2022-11-21T19:00:00Z,United States,Wales,43921,0,MCKENNIE,390259,Y,13',13.0,3,90.0,101.0,timeline_period_label,1,77.0,88.0,4,437.0,,MCKENNIE (United States) is booked by the referee.
2022,4,400235455,First stage,2022-11-21T19:00:00Z,Wales,United States,43974,0,BALE,299610,Y,40',40.0,3,90.0,101.0,timeline_period_label,1,50.0,61.0,4,410.0,,BALE (Wales) is booked by the referee.
2022,4,400235455,First stage,2022-11-21T19:00:00Z,Wales,United States,43974,0,MEPHAM,441219,Y,45'+2',47.0,3,90.0,101.0,timeline_period_label,1,43.0,54.0,4,403.0,,MEPHAM (Wales) is booked by the referee.
2022,4,400235455,First stage,2022-11-21T19:00:00Z,United States,Wales,43921,0,REAM,339510,Y,51',51.0,5,90.0,101.0,timeline_period_label,1,39.0,50.0,4,399.0,,REAM (United States) is booked by the referee.
2022,4,400235455,First stage,2022-11-21T19:00:00Z,United States,Wales,43921,0,Kellyn Acosta,331871,Y,90'+10',100.0,5,90.0,101.0,timeline_period_label,1,0.0,1.0,4,360.0,,Kellyn Acosta (United States) is booked by the referee.
2022,5,400235470,First stage,2022-11-22T19:00:00Z,Australia,France,43976,0,DUKE,431745,Y,55',55.0,5,90.0,98.0,timeline_period_label,1,35.0,43.0,4,395.0,,DUKE (Australia) is booked by the referee.
2022,5,400235470,First stage,2022-11-22T19:00:00Z,Australia,France,43976,0,IRVINE,355775,Y,80',80.0,5,90.0,98.0,timeline_period_label,1,10.0,18.0,4,370.0,,IRVINE (Australia) is booked by the referee.
2022,5,400235470,First stage,2022-11-22T19:00:00Z,Australia,France,43976,0,MOOY,312252,Y,90'+5',95.0,5,90.0,98.0,timeline_period_label,1,0.0,3.0,4,360.0,,MOOY (Australia) is booked by the referee.
2022,6,400235466,First stage,2022-11-22T13:00:00Z,Denmark,Tunisia,43941,0,KRISTENSEN,448464,Y,24',24.0,3,90.0,98.0,timeline_period_label,1,66.0,74.0,4,426.0,,KRISTENSEN (Denmark) is booked by the referee.
2022,6,400235466,First stage,2022-11-22T13:00:00Z,Denmark,Tunisia,43941,0,JENSEN,411291,Y,78',78.0,5,90.0,98.0,timeline_period_label,1,12.0,20.0,4,372.0,,JENSEN (Denmark) is booked by the referee.
