edition,match_number,fifa_match_id,stage,date_utc,team,opponent,team_id,is_official,recipient,id_player,card_type,minute_label,t_min,period,basis,t_end_min,t_end_source,rho,W1,D1,N_horizon,W2,first_yellow_t_min,event_description
2026,1,400021443,First Stage,2026-06-11T19:00:00Z,South Africa,Mexico,43883,0,Teboho MOKOENA,403616,Y,17',17.0,3,90.0,98.0,timeline_period_label,1,73.0,81.0,5,523.0,,Teboho MOKOENA (South Africa) is booked by the referee.
2026,1,400021443,First Stage,2026-06-11T19:00:00Z,Mexico,South Africa,43911,0,Brian GUTIERREZ,464533,Y,23',23.0,3,90.0,98.0,timeline_period_label,1,67.0,75.0,5,517.0,,Brian GUTIERREZ (Mexico) is booked by the referee.
2026,1,400021443,First Stage,2026-06-11T19:00:00Z,South Africa,Mexico,43883,0,Sphephelo SITHOLE,390475,R,49',49.0,5,90.0,98.0,timeline_period_label,2,,98.0,5,,,Sphephelo SITHOLE (South Africa) is sent off!
2026,1,400021443,First Stage,2026-06-11T19:00:00Z,South Africa,Mexico,43883,0,Nkosinathi SIBISI,463221,Y,74',74.0,5,90.0,98.0,timeline_period_label,1,16.0,24.0,5,466.0,,Nkosinathi SIBISI (South Africa) is booked by the referee.
2026,1,400021443,First Stage,2026-06-11T19:00:00Z,South Africa,Mexico,43883,0,Themba ZWANE,395984,R,84',84.0,5,90.0,98.0,timeline_period_label,2,,28.0,5,,,Themba ZWANE (South Africa) is sent off!
2026,1,400021443,First Stage,2026-06-11T19:00:00Z,Mexico,South Africa,43911,0,Cesar MONTES,395516,R,90'+2',92.0,5,90.0,98.0,timeline_period_label,2,,12.0,5,,,Cesar MONTES (Mexico) is sent off!
2026,2,400021441,First Stage,2026-06-12T02:00:00Z,Korea Republic,Czechia,43822,0,LEE Gihyuk,492315,Y,90'+6',96.0,5,90.0,97.0,timeline_period_label,1,0.0,1.0,5,450.0,,LEE Gihyuk (Korea Republic) is booked by the referee.
2026,3,400021449,First Stage,2026-06-12T19:00:00Z,Canada,Bosnia and Herzegovina,43899,0,Alistair JOHNSTON,441252,Y,11',11.0,3,90.0,97.0,timeline_period_label,1,79.0,86.0,5,529.0,,Alistair JOHNSTON (Canada) is booked by the referee.
2026,3,400021449,First Stage,2026-06-12T19:00:00Z,Bosnia and Herzegovina,Canada,44037,0,Ermedin DEMIROVIC,436743,Y,44',44.0,3,90.0,97.0,timeline_period_label,1,46.0,53.0,5,496.0,,Ermedin DEMIROVIC (Bosnia and Herzegovina) is booked by the referee.
2026,3,400021449,First Stage,2026-06-12T19:00:00Z,Bosnia and Herzegovina,Canada,44037,0,Jovo LUKIC,519954,Y,45'+1',46.0,3,90.0,97.0,timeline_period_label,1,44.0,51.0,5,494.0,,Jovo LUKIC (Bosnia and Herzegovina) is booked by the referee.
2026,3,400021449,First Stage,2026-06-12T19:00:00Z,Canada,Bosnia and Herzegovina,43899,0,Luc DE FOUGEROLLES,480322,Y,53',53.0,5,90.0,97.0,timeline_period_label,1,37.0,44.0,5,487.0,,Luc DE FOUGEROLLES (Canada) is booked by the referee.
2026,3,400021449,First Stage,2026-06-12T19:00:00Z,Bosnia and Herzegovina,Canada,44037,0,Nikola KATIC,489520,Y,90'+3',93.0,5,90.0,97.0,timeline_period_label,1,0.0,4.0,5,450.0,,Nikola KATIC (Bosnia and Herzegovina) is booked by the referee.
2026,4,400021458,First Stage,2026-06-13T01:00:00Z,Paraguay,USA,43928,0,Juan Jose CACERES,479601,Y,9',9.0,3,90.0,99.0,timeline_period_label,1,81.0,90.0,5,531.0,,Juan Jose CACERES (Paraguay) is booked by the referee.
2026,4,400021458,First Stage,2026-06-13T01:00:00Z,Paraguay,USA,43928,0,Miguel ALMIRON,369761,Y,53',53.0,5,90.0,99.0,timeline_period_label,1,37.0,46.0,5,487.0,,Miguel ALMIRON (Paraguay) is booked by the referee.
2026,4,400021458,First Stage,2026-06-13T01:00:00Z,USA,Paraguay,43921,0,Tyler ADAMS,390238,Y,59',59.0,5,90.0,99.0,timeline_period_label,1,31.0,40.0,5,481.0,,Tyler ADAMS (USA) is booked by the referee.
2026,4,400021458,First Stage,2026-06-13T01:00:00Z,Paraguay,USA,43928,0,Diego GOMEZ,463128,Y,79',79.0,5,90.0,99.0,timeline_period_label,1,11.0,20.0,5,461.0,,Diego GOMEZ (Paraguay) is booked by the referee.
2026,4,400021458,First Stage,2026-06-13T01:00:00Z,Paraguay,USA,43928,0,Alex ARCE,485802,Y,88',88.0,5,90.0,99.0,timeline_period_label,1,2.0,11.0,5,452.0,,Alex ARCE (Paraguay) is booked by the referee.
2026,4,400021458,First Stage,2026-06-13T01:00:00Z,Paraguay,USA,43928,0,Junior ALONSO,369749,Y,90'+3',93.0,5,90.0,99.0,timeline_period_label,1,0.0,6.0,5,450.0,,Junior ALONSO (Paraguay) is booked by the referee.
2026,5,400021453,First Stage,2026-06-14T01:00:00Z,Haiti,Scotland,43908,0,Jean-Ricner BELLEGARDE,430697,Y,39',39.0,3,90.0,99.0,timeline_period_label,1,51.0,60.0,5,501.0,,Jean-Ricner BELLEGARDE (Haiti) is booked by the referee.
2026,5,400021453,First Stage,2026-06-14T01:00:00Z,Scotland,Haiti,43967,0,Aaron HICKEY,442428,Y,46',46.0,5,90.0,99.0,timeline_period_label,1,44.0,53.0,5,494.0,,Aaron HICKEY (Scotland) is booked by the referee.
2026,5,400021453,First Stage,2026-06-14T01:00:00Z,Scotland,Haiti,43967,0,Findlay CURTIS,520217,Y,90'+1',91.0,5,90.0,99.0,timeline_period_label,1,0.0,8.0,5,450.0,,Findlay CURTIS (Scotland) is booked by the referee.
2026,5,400021453,First Stage,2026-06-14T01:00:00Z,Scotland,Haiti,43967,0,Kenny McLEAN,484051,Y,90'+5',95.0,5,90.0,99.0,timeline_period_label,1,0.0,4.0,5,450.0,,Kenny McLEAN (Scotland) is booked by the referee.
